,tconst,ordering,nconst,category,job,characters
529387,tt0063219,2,nm0002075,actor,\N,"[""Lewis Zarken"",""Louie Flack""]"
529388,tt0063219,3,nm0000308,actor,\N,"[""Barney Sheean""]"
529389,tt0063219,4,nm0783670,actor,\N,"[""Bart Langner""]"
529395,tt0063220,1,nm0000051,actor,\N,"[""Franz Gruber""]"
529396,tt0063220,2,nm0000018,actor,\N,"[""Narrator""]"
529397,tt0063220,3,nm0508105,actor,\N,"[""Pastor Joseph Mohr""]"
529398,tt0063220,4,nm0124741,actress,\N,"[""Gretchen""]"
529401,tt0063220,7,nm0782650,actor,\N,"[""Ernst""]"
529463,tt0063227,1,nm0000564,actor,\N,"[""Henry II""]"
529464,tt0063227,2,nm0000031,actress,\N,"[""Eleanor of Aquitaine""]"
529465,tt0063227,3,nm0000164,actor,\N,"[""Richard""]"
529466,tt0063227,4,nm0145284,actor,\N,"[""Geoffrey""]"
529630,tt0063246,1,nm0000018,actor,\N,"[""Jameson Schuyler""]"
529631,tt0063246,2,nm0466977,actress,\N,"[""Rena Westabrook""]"
529632,tt0063246,3,nm0908919,actor,\N,"[""Tennessee Fredericks""]"
529633,tt0063246,4,nm0354078,actor,\N,"[""Jonathan Fleming""]"
529709,tt0063256,1,nm0001847,actor,\N,"[""Det. Daniel Madigan""]"
529710,tt0063256,2,nm0000020,actor,\N,"[""Commissioner Anthony X. Russell""]"
529711,tt0063256,3,nm0828447,actress,\N,"[""Julia Madigan""]"
529712,tt0063256,4,nm0345340,actor,\N,"[""Det. Rocco Bonaro""]"
529737,tt0063260,1,nm0000063,actor,\N,"[""Maurice Conchis""]"
529738,tt0063260,2,nm0000323,actor,\N,"[""Nicholas Urfe""]"
529739,tt0063260,3,nm0000298,actress,\N,"[""Lily""]"
529740,tt0063260,4,nm0439344,actress,\N,"[""Anne""]"
530099,tt0063303,1,nm0553349,actress,\N,"[""Vic Shaw""]"
530100,tt0063303,2,nm0003110,actor,\N,"[""Mike Madigan""]"
530101,tt0063303,3,nm0000163,actor,\N,"[""Jason Fister""]"
530102,tt0063303,4,nm0737924,actor,\N,"[""Lt. Arco""]"
530270,tt0063324,1,nm0000053,actor,\N,"[""Narrator""]"
530271,tt0063324,2,nm1144022,self,\N,"[""Self - Interviewee""]"
530272,tt0063324,3,nm2619887,self,\N,"[""Self - Interviewee""]"
530273,tt0063324,4,nm3952815,self,\N,"[""Self - Interviewee""]"
530439,tt0063341,1,nm0001813,actor,\N,"[""Jack Albany""]"
530440,tt0063341,2,nm0000064,actor,\N,"[""Leo Joseph Smooth""]"
